uk,geo_name,geo_network,province_tr,district_tr,erdogan,kilicdaroglu
relation_1605440,Tavas,TR20-districts,Denizli,Tavas,16670,12701
relation_1665230,Baglar,TR21-districts,Diyarbakır,Bağlar,45240,142588
relation_1357023,Bismil,TR21-districts,Diyarbakır,Bismil,12860,46285
relation_1665601,Cermik,TR21-districts,Diyarbakır,Çermik,13899,8243
relation_1404649,Cinar,TR21-districts,Diyarbakır,Çınar,11754,20137
relation_1665602,Cungus,TR21-districts,Diyarbakır,Çüngüş,3298,2015
relation_1846360,Dicle,TR21-districts,Diyarbakır,Dicle,5403,9747
relation_1846361,Egil,TR21-districts,Diyarbakır,Eğil,3868,5297
relation_1354885,Ergani,TR21-districts,Diyarbakır,Ergani,20827,42478
relation_1846362,Hani,TR21-districts,Diyarbakır,Hani,6437,5737
relation_1842158,Hazro,TR21-districts,Diyarbakır,Hazro,1704,5177
relation_1665231,Kayapinar,TR21-districts,Diyarbakır,Kayapınar,53518,158251
relation_1354018,Kocakoy,TR21-districts,Diyarbakır,Kocaköy,1382,6261
relation_1842159,Kulp,TR21-districts,Diyarbakır,Kulp,6869,9242
relation_1846363,Lice,TR21-districts,Diyarbakır,Lice,2027,11852
relation_1842160,Silvan,TR21-districts,Diyarbakır,Silvan,8899,32653
relation_1664708,Sur,TR21-districts,Diyarbakır,Sur,13607,30127
relation_1665091,Yenisehir,TR21-districts,Diyarbakır,Yenişehir,30482,75891
relation_1393955,Akcakoca,TR81-districts,Düzce,Akçakoca,17347,10596
relation_1393950,Cilimli,TR81-districts,Düzce,Çilimli,10101,2184
relation_1393949,Cumayeri,TR81-districts,Düzce,Cumayeri,8498,2048
relation_1393951,Golyaka,TR81-districts,Düzce,Gölyaka,10691,4027
relation_1393956,Gumusova,TR81-districts,Düzce,Gümüşova,8836,2897
relation_1393952,Kaynasli,TR81-districts,Düzce,Kaynaşlı,11295,2592
relation_1393953,Duzce merkez,TR81-districts,Düzce,Merkez,112364,47559
relation_1393954,Yigilca,TR81-districts,Düzce,Yığılca,8651,1375
relation_1834460,Enez,TR22-districts,Edirne,Enez,2063,5775
relation_1834461,Havsa,TR22-districts,Edirne,Havsa,4311,9296
relation_1834586,Ipsala,TR22-districts,Edirne,İpsala,7348,11127
